file_id,hsa-mir-100,hsa-mir-1-1,hsa-let-7e,hsa-let-7g,hsa-let-7d,hsa-mir-103a-2,hsa-mir-101-2,hsa-let-7a-2,hsa-let-7b,hsa-mir-1-2,hsa-let-7f-1,hsa-let-7c,hsa-mir-103b-2,hsa-let-7f-2,hsa-mir-101-1,hsa-let-7i,hsa-mir-103a-1,hsa-mir-103b-1,hsa-let-7a-1,hsa-let-7a-3,label
3ca1cc5e-19d6-48fe-8f26-4c461cfef51c,8653,4,2638,1005,1427,28432,22234,25741,27605,6,19934,5332,0,20390,22027,1027,28283,0,25413,25251,1
67d23be2-54d8-4127-a38b-8c802ea8263c,3161,15,5554,1756,2371,11917,12835,24663,53389,14,9313,7872,0,9612,12741,2162,11644,0,24950,24711,1
da78084e-f500-4fd2-a160-d3e35defeb9c,4755,18,1490,990,1318,6895,24578,18666,65461,20,4766,3166,0,4767,24578,1659,6858,0,18634,18800,1
ba24c3c2-58c8-4ecf-843a-8bb6615a4fa6,5348,5,664,600,504,12352,5373,3244,8403,3,1008,3372,0,1081,5374,1687,12419,0,3192,3172,1
07a526de-cf8d-41b8-a294-23307003f784,6654,13,2573,2204,3581,57508,38070,21160,51428,22,6578,3130,0,6625,37084,2414,57532,0,21147,21479,1
06de7e37-fc4a-4c0f-87ae-4738bb2c52f5,2739,1,12872,4790,1297,26413,34198,23879,14215,7,9871,7465,0,9962,34133,1435,26386,0,23882,23964,1
f4fe1c98-2898-4bda-a227-834770e1916c,726,3,852,751,540,6126,7762,14798,25965,0,6475,868,0,6458,8149,806,5921,0,14650,14528,1
d9e8688f-73cd-40d6-8ada-f6b5233db5d7,1753,3,2051,1299,1761,9572,12664,12058,29849,1,2784,3358,0,2847,12852,1149,9588,0,12051,11990,1
eb5be750-1b1f-4fba-a3bb-c731dad38a76,108096,4,9841,5357,3256,18254,223492,114512,206427,5,51051,8696,0,51929,223324,3141,17963,0,114966,114522,1
b53912b5-f401-44e3-b620-df1cb3b73e59,6715,55,2877,2969,1013,16114,10009,13142,13037,55,13737,4101,0,14141,9869,828,15972,0,13326,13295,0
21a9461a-68b6-4c1e-93b6-4287f1c56b77,27349,3,4392,3497,1799,13127,74997,38979,65183,1,15223,5941,0,15507,74733,981,12856,0,39038,38607,1
3e0cc1f7-5b08-4ccb-a42b-118a830faeeb,5101,23,3201,1963,943,10352,7504,21996,23331,25,15661,1950,0,15899,7475,1005,10438,0,22136,22139,1
20176497-8b9c-408d-82c3-efb5ddafbb07,3818,12,1387,744,942,20281,12733,9906,29809,15,2717,5937,0,2793,12539,1384,20223,0,9888,10017,1
4e6d7ff9-c516-453a-b45f-01b9af5e861f,14797,6,5017,1909,1817,15855,16241,30382,28987,8,27165,3675,0,27959,16203,1190,16218,0,30176,30292,1
a25e62ab-b180-47b0-9a6e-1a29d30bdc06,48352,59,6765,3643,2380,30154,122120,43819,71584,57,18005,13870,0,18115,121643,1979,29779,0,44344,44411,0
e0ba4f6f-e443-45bd-9c76-48abb702b4c1,2060,88,28961,4443,9296,100417,15393,35057,29425,98,25586,1964,0,26911,15141,1996,100317,0,35190,35148,1
00be9ee2-1857-4bb4-9d70-1341ef521e1d,38266,145,6793,3493,1408,23771,14760,45940,58075,156,33630,7045,0,34328,14711,2603,23797,0,46345,46423,1
6c7d4b70-890f-449c-955e-f6e82f4aea15,860,3,1462,923,2066,32666,44316,15698,42870,6,4933,4983,0,4857,44047,1514,32452,0,15733,15819,1
c33282b9-5b6a-445b-b802-0aeecbf2c120,24322,11,12754,2797,3267,45486,40043,53150,66356,12,23169,11493,0,23370,39790,3134,45603,0,53721,53314,0
c1f052ee-99ea-4198-bbc3-0b30462cc49c,26518,1,3846,3261,1792,28664,37400,63087,89146,2,24856,4825,0,25146,36588,2868,28711,0,63238,63139,1
410b246b-88ec-4ba3-9424-f9f86d28069f,7354,9,11661,2365,6028,79713,4086,23317,13821,10,18897,6934,0,19129,4088,1539,79822,0,23266,23506,1
2fec0342-019f-4873-9734-31695ffb185c,432916,9,25162,4614,3326,280304,71986,111503,37651,13,29038,21005,0,29616,71307,2108,280370,0,110737,112018,1
abbdd220-772e-4f0d-be88-0c44b4bf3efe,4475,12,3876,1581,683,12783,8275,25205,33956,9,15709,4389,0,16119,8292,1092,13004,0,25102,25457,1
ebf44856-42a7-48c3-98d6-1711122c14bb,21893,44,48197,9853,14166,193610,46937,219651,209605,43,100173,3974,0,103774,45680,6683,192355,0,220053,222164,1
